Fetching train data...
Train data fetch completed!

Training weights according to train data...
iteration: 1, likelihood estimate: -227.27524826048722
iteration: 2, likelihood estimate: -214.80881333015287
iteration: 3, likelihood estimate: -188.42128220479182
iteration: 4, likelihood estimate: -174.59469244445614
iteration: 5, likelihood estimate: -164.08711123954285
iteration: 6, likelihood estimate: -155.90869651542076
iteration: 7, likelihood estimate: -149.51167289894087
iteration: 8, likelihood estimate: -144.4374151153552
iteration: 9, likelihood estimate: -140.32415853530622
iteration: 10, likelihood estimate: -136.9002182561906
iteration: 11, likelihood estimate: -133.9712734462784
iteration: 12, likelihood estimate: -131.40461188264663
iteration: 13, likelihood estimate: -129.11179959109234
iteration: 14, likelihood estimate: -127.0336329318507
iteration: 15, likelihood estimate: -125.12932045866583
iteration: 16, likelihood estimate: -123.36955231009955
iteration: 17, likelihood estimate: -121.73231228781611
iteration: 18, likelihood estimate: -120.20039449388187
iteration: 19, likelihood estimate: -118.75991827549882
iteration: 20, likelihood estimate: -117.39941643796031
iteration: 21, likelihood estimate: -116.1092544775058
iteration: 22, likelihood estimate: -114.88124486776397
iteration: 23, likelihood estimate: -113.70837930153643
iteration: 24, likelihood estimate: -112.58463408237714
iteration: 25, likelihood estimate: -111.5048219201647
iteration: 26, likelihood estimate: -110.46447387306303
iteration: 27, likelihood estimate: -109.45974152044101
iteration: 28, likelihood estimate: -108.48731338915705
iteration: 29, likelihood estimate: -107.54434210429967
iteration: 30, likelihood estimate: -106.62838021827174
iteration: 31, likelihood estimate: -105.73732352094837
iteration: 32, likelihood estimate: -104.86936107720189
iteration: 33, likelihood estimate: -104.0229314376137
iteration: 34, likelihood estimate: -103.1966845347358
iteration: 35, likelihood estimate: -102.38944878280567
iteration: 36, likelihood estimate: -101.6002028862374
iteration: 37, likelihood estimate: -100.82805185358109
iteration: 38, likelihood estimate: -100.07220671812155
iteration: 39, likelihood estimate: -99.33196748508021
iteration: 40, likelihood estimate: -98.60670885616176
iteration: 41, likelihood estimate: -97.89586832112236
iteration: 42, likelihood estimate: -97.19893624933641
iteration: 43, likelihood estimate: -96.51544765882174
iteration: 44, likelihood estimate: -95.8449753835096
iteration: 45, likelihood estimate: -95.18712440010961
iteration: 46, likelihood estimate: -94.54152711279093
iteration: 47, likelihood estimate: -93.9078394267735
iteration: 48, likelihood estimate: -93.28573747051921
iteration: 49, likelihood estimate: -92.67491485096579
iteration: 50, likelihood estimate: -92.07508034717131
iteration: 51, likelihood estimate: -91.48595596543959
iteration: 52, likelihood estimate: -90.90727529366093
iteration: 53, likelihood estimate: -90.33878210477684
iteration: 54, likelihood estimate: -89.78022916912424
iteration: 55, likelihood estimate: -89.23137724349301
iteration: 56, likelihood estimate: -88.69199421104247
iteration: 57, likelihood estimate: -88.16185435133046
iteration: 58, likelihood estimate: -87.64073772356069
iteration: 59, likelihood estimate: -87.12842964914496
iteration: 60, likelihood estimate: -86.62472028193066
iteration: 61, likelihood estimate: -86.12940425601907
iteration: 62, likelihood estimate: -85.6422804023432
iteration: 63, likelihood estimate: -85.16315152593049
iteration: 64, likelihood estimate: -84.69182423644722
iteration: 65, likelihood estimate: -84.2281088250058
iteration: 66, likelihood estimate: -83.77181918060528
iteration: 67, likelihood estimate: -83.32277273987917
iteration: 68, likelihood estimate: -82.88079046416213
iteration: 69, likelihood estimate: -82.44569683821656
iteration: 70, likelihood estimate: -82.0173198853812
iteration: 71, likelihood estimate: -81.59549119430147
iteration: 72, likelihood estimate: -81.18004595290935
iteration: 73, likelihood estimate: -80.77082298580436
iteration: 74, likelihood estimate: -80.36766479170473
iteration: 75, likelihood estimate: -79.97041757819579
iteration: 76, likelihood estimate: -79.57893129147826
iteration: 77, likelihood estimate: -79.19305963935632
iteration: 78, likelihood estimate: -78.81266010614108
iteration: 79, likelihood estimate: -78.43759395858245
iteration: 80, likelihood estimate: -78.06772624231623
iteration: 81, likelihood estimate: -77.70292576864281
iteration: 82, likelihood estimate: -77.34306509172133
iteration: 83, likelihood estimate: -76.98802047650256
iteration: 84, likelihood estimate: -76.63767185788448
iteration: 85, likelihood estimate: -76.2919027917284
iteration: 86, likelihood estimate: -75.95060039845286
iteration: 87, likelihood estimate: -75.61365529998011
iteration: 88, likelihood estimate: -75.28096155085696
iteration: 89, likelihood estimate: -74.95241656436178
iteration: 90, likelihood estimate: -74.62792103439838
iteration: 91, likelihood estimate: -74.30737885395443
iteration: 92, likelihood estimate: -73.99069703084771
iteration: 93, likelihood estimate: -73.67778560144696
iteration: 94, likelihood estimate: -73.36855754300186
iteration: 95, likelihood estimate: -73.06292868513445
iteration: 96, likelihood estimate: -72.76081762102189
iteration: 97, likelihood estimate: -72.46214561871457
iteration: 98, likelihood estimate: -72.16683653299252
iteration: 99, likelihood estimate: -71.87481671810606
iteration: 100, likelihood estimate: -71.58601494170296
iteration: 101, likelihood estimate: -71.30036230018099
iteration: 102, likelihood estimate: -71.01779213569523
iteration: 103, likelihood estimate: -70.7382399549736
iteration: 104, likelihood estimate: -70.46164335009406
iteration: 105, likelihood estimate: -70.18794192131944
iteration: 106, likelihood estimate: -69.9170772020859
iteration: 107, likelihood estimate: -69.64899258618733
iteration: 108, likelihood estimate: -69.38363325720543
iteration: 109, likelihood estimate: -69.12094612020374
iteration: 110, likelihood estimate: -68.8608797356814
iteration: 111, likelihood estimate: -68.60338425580214
iteration: 112, likelihood estimate: -68.34841136284831
iteration: 113, likelihood estimate: -68.09591420989767
iteration: 114, likelihood estimate: -67.84584736368348
iteration: 115, likelihood estimate: -67.59816674958459
iteration: 116, likelihood estimate: -67.35282959871415
iteration: 117, likelihood estimate: -67.10979439704974
iteration: 118, likelihood estimate: -66.86902083655686
iteration: 119, likelihood estimate: -66.63046976824212
iteration: 120, likelihood estimate: -66.39410315709192
iteration: 121, likelihood estimate: -66.15988403882768
iteration: 122, likelihood estimate: -65.92777647842887
iteration: 123, likelihood estimate: -65.69774553036181
iteration: 124, likelihood estimate: -65.46975720044873
iteration: 125, likelihood estimate: -65.24377840933869
iteration: 126, likelihood estimate: -65.01977695750072
iteration: 127, likelihood estimate: -64.79772149170427
iteration: 128, likelihood estimate: -64.57758147291395
iteration: 129, likelihood estimate: -64.35932714555709
iteration: 130, likelihood estimate: -64.14292950811227
iteration: 131, likelihood estimate: -63.92836028494946
iteration: 132, likelihood estimate: -63.715591899400884
iteration: 133, likelihood estimate: -63.50459744798829
iteration: 134, likelihood estimate: -63.29535067577334
iteration: 135, likelihood estimate: -63.087825952782644
iteration: 136, likelihood estimate: -62.8819982514597
iteration: 137, likelihood estimate: -62.6778431251045
iteration: 138, likelihood estimate: -62.47533668726194
iteration: 139, likelihood estimate: -62.274455592007094
iteration: 140, likelihood estimate: -62.075177015106036
iteration: 141, likelihood estimate: -61.87747863599796
iteration: 142, likelihood estimate: -61.681338620575616
iteration: 143, likelihood estimate: -61.486735604720565
iteration: 144, likelihood estimate: -61.2936486785622
iteration: 145, likelihood estimate: -61.10205737143373
iteration: 146, likelihood estimate: -60.91194163748216
iteration: 147, likelihood estimate: -60.723281841917085
iteration: 148, likelihood estimate: -60.53605874785422
iteration: 149, likelihood estimate: -60.35025350374101
iteration: 150, likelihood estimate: -60.165847631324134
iteration: 151, likelihood estimate: -59.98282301414196
iteration: 152, likelihood estimate: -59.80116188651948
iteration: 153, likelihood estimate: -59.620846823028685
iteration: 154, likelihood estimate: -59.44186072841122
iteration: 155, likelihood estimate: -59.2641868279239
iteration: 156, likelihood estimate: -59.0878086580977
iteration: 157, likelihood estimate: -58.91271005788947
iteration: 158, likelihood estimate: -58.73887516019621
iteration: 159, likelihood estimate: -58.56628838373556
iteration: 160, likelihood estimate: -58.39493442524988
iteration: 161, likelihood estimate: -58.224798252038156
iteration: 162, likelihood estimate: -58.05586509478775
iteration: 163, likelihood estimate: -57.888120440695545
iteration: 164, likelihood estimate: -57.7215500268668
iteration: 165, likelihood estimate: -57.556139833968025
iteration: 166, likelihood estimate: -57.391876080136186
iteration: 167, likelihood estimate: -57.228745215118174
iteration: 168, likelihood estimate: -57.06673391463284
iteration: 169, likelihood estimate: -56.90582907495203
iteration: 170, likelihood estimate: -56.746017807677916
iteration: 171, likelihood estimate: -56.58728743471546
iteration: 172, likelihood estimate: -56.429625483425
iteration: 173, likelihood estimate: -56.27301968195237
iteration: 174, likelihood estimate: -56.11745795471813
iteration: 175, likelihood estimate: -55.96292841806857
iteration: 176, likelihood estimate: -55.80941937607491
iteration: 177, likelihood estimate: -55.6569193164714
iteration: 178, likelihood estimate: -55.50541690673051
iteration: 179, likelihood estimate: -55.354900990267154
iteration: 180, likelihood estimate: -55.205360582763234
iteration: 181, likelihood estimate: -55.05678486860948
iteration: 182, likelihood estimate: -54.90916319745807
iteration: 183, likelihood estimate: -54.76248508088141
iteration: 184, likelihood estimate: -54.616740189129196
iteration: 185, likelihood estimate: -54.47191834798587
iteration: 186, likelihood estimate: -54.32800953571365
iteration: 187, likelihood estimate: -54.18500388009065
iteration: 188, likelihood estimate: -54.042891655525835
iteration: 189, likelihood estimate: -53.90166328025582
iteration: 190, likelihood estimate: -53.761309313623606
iteration: 191, likelihood estimate: -53.621820453420284
iteration: 192, likelihood estimate: -53.483187533305106
iteration: 193, likelihood estimate: -53.345401520290395
iteration: 194, likelihood estimate: -53.208453512289104
iteration: 195, likelihood estimate: -53.07233473572636
iteration: 196, likelihood estimate: -52.93703654320987
iteration: 197, likelihood estimate: -52.80255041125451
iteration: 198, likelihood estimate: -52.66886793806834
iteration: 199, likelihood estimate: -52.53598084138348
iteration: 200, likelihood estimate: -52.40388095634373
iteration: 201, likelihood estimate: -52.272560233437666
iteration: 202, likelihood estimate: -52.142010736482646
iteration: 203, likelihood estimate: -52.012224640648725
iteration: 204, likelihood estimate: -51.883194230532304
iteration: 205, likelihood estimate: -51.75491189826931
iteration: 206, likelihood estimate: -51.62737014168917
iteration: 207, likelihood estimate: -51.5005615625106
iteration: 208, likelihood estimate: -51.37447886457288
iteration: 209, likelihood estimate: -51.24911485210991
iteration: 210, likelihood estimate: -51.12446242805147
iteration: 211, likelihood estimate: -51.00051459236956
iteration: 212, likelihood estimate: -50.87726444045131
iteration: 213, likelihood estimate: -50.754705161509285
iteration: 214, likelihood estimate: -50.632830037020916
iteration: 215, likelihood estimate: -50.51163243920104
iteration: 216, likelihood estimate: -50.39110582950516
iteration: 217, likelihood estimate: -50.27124375716104
iteration: 218, likelihood estimate: -50.15203985772686
iteration: 219, likelihood estimate: -50.03348785168471
iteration: 220, likelihood estimate: -49.91558154305348
iteration: 221, likelihood estimate: -49.79831481803183
iteration: 222, likelihood estimate: -49.681681643666906
iteration: 223, likelihood estimate: -49.56567606654792
iteration: 224, likelihood estimate: -49.45029221152739
iteration: 225, likelihood estimate: -49.33552428045895
iteration: 226, likelihood estimate: -49.221366550968526
iteration: 227, likelihood estimate: -49.10781337524147
iteration: 228, likelihood estimate: -48.99485917883282
iteration: 229, likelihood estimate: -48.88249845950453
iteration: 230, likelihood estimate: -48.770725786077726
iteration: 231, likelihood estimate: -48.659535797310156
iteration: 232, likelihood estimate: -48.54892320079381
iteration: 233, likelihood estimate: -48.4388827718695
iteration: 234, likelihood estimate: -48.329409352566046
iteration: 235, likelihood estimate: -48.2204978505538
iteration: 236, likelihood estimate: -48.11214323812124
iteration: 237, likelihood estimate: -48.004340551166536
iteration: 238, likelihood estimate: -47.89708488821005
iteration: 239, likelihood estimate: -47.79037140942189
iteration: 240, likelihood estimate: -47.684195335669635
iteration: 241, likelihood estimate: -47.578551947579854
iteration: 242, likelihood estimate: -47.47343658461942
iteration: 243, likelihood estimate: -47.36884464419008
iteration: 244, likelihood estimate: -47.264771580742135
iteration: 245, likelihood estimate: -47.161212904901824
iteration: 246, likelihood estimate: -47.05816418261357
iteration: 247, likelihood estimate: -46.9556210342989
iteration: 248, likelihood estimate: -46.85357913402926
iteration: 249, likelihood estimate: -46.752034208712914
iteration: 250, likelihood estimate: -46.650982037297084
iteration: 251, likelihood estimate: -46.550418449983304
iteration: 252, likelihood estimate: -46.45033932745628
iteration: 253, likelihood estimate: -46.35074060012594
iteration: 254, likelihood estimate: -46.25161824738502
iteration: 255, likelihood estimate: -46.15296829687309
iteration: 256, likelihood estimate: -46.054786823763045
iteration: 257, likelihood estimate: -45.957069950051185
iteration: 258, likelihood estimate: -45.85981384386196
iteration: 259, likelihood estimate: -45.76301471877032
iteration: 260, likelihood estimate: -45.66666883312292
iteration: 261, likelihood estimate: -45.57077248938746
iteration: 262, likelihood estimate: -45.47532203349803
iteration: 263, likelihood estimate: -45.38031385422121
iteration: 264, likelihood estimate: -45.28574438252775
iteration: 265, likelihood estimate: -45.19161009097947
iteration: 266, likelihood estimate: -45.09790749312149
iteration: 267, likelihood estimate: -45.00463314288832
iteration: 268, likelihood estimate: -44.91178363401869
iteration: 269, likelihood estimate: -44.81935559948085
iteration: 270, likelihood estimate: -44.72734571090688
iteration: 271, likelihood estimate: -44.63575067803553
iteration: 272, likelihood estimate: -44.54456724816598
iteration: 273, likelihood estimate: -44.4537922056228
iteration: 274, likelihood estimate: -44.36342237122323
iteration: 275, likelihood estimate: -44.273454601760804
iteration: 276, likelihood estimate: -44.18388578949144
iteration: 277, likelihood estimate: -44.09471286163273
iteration: 278, likelihood estimate: -44.00593277986819
iteration: 279, likelihood estimate: -43.91754253986247
iteration: 280, likelihood estimate: -43.82953917078148
iteration: 281, likelihood estimate: -43.74191973482393
iteration: 282, likelihood estimate: -43.654681326756126
iteration: 283, likelihood estimate: -43.56782107345926
iteration: 284, likelihood estimate: -43.481336133480866
iteration: 285, likelihood estimate: -43.39522369659469
iteration: 286, likelihood estimate: -43.309480983367045
iteration: 287, likelihood estimate: -43.224105244730914
