Fetching train data...
Train data fetch completed!

Training weights according to train data...
iteration: 1, likelihood estimate: -227.275072156888
iteration: 2, likelihood estimate: -214.8087373916283
iteration: 3, likelihood estimate: -188.4211448725138
iteration: 4, likelihood estimate: -174.5945837740715
iteration: 5, likelihood estimate: -164.08711884616076
iteration: 6, likelihood estimate: -155.9088274822762
iteration: 7, likelihood estimate: -149.51190631261068
iteration: 8, likelihood estimate: -144.43773194070886
iteration: 9, likelihood estimate: -140.32454876843752
iteration: 10, likelihood estimate: -136.9006797400158
iteration: 11, likelihood estimate: -133.97180817705984
iteration: 12, likelihood estimate: -131.40522258122448
iteration: 13, likelihood estimate: -129.11248786517228
iteration: 14, likelihood estimate: -127.0343988868783
iteration: 15, likelihood estimate: -125.13016307875256
iteration: 16, likelihood estimate: -123.37047006850601
iteration: 17, likelihood estimate: -121.73330371223115
iteration: 18, likelihood estimate: -120.2014585935695
iteration: 19, likelihood estimate: -118.76105482427681
iteration: 20, likelihood estimate: -117.40062613615916
iteration: 21, likelihood estimate: -116.11053901955911
iteration: 22, likelihood estimate: -114.88260693774495
iteration: 23, likelihood estimate: -113.7098225144738
iteration: 24, likelihood estimate: -112.58616288625038
iteration: 25, likelihood estimate: -111.5064414718481
iteration: 26, likelihood estimate: -110.46618990015516
iteration: 27, likelihood estimate: -109.46156017942052
iteration: 28, likelihood estimate: -108.48924112829658
iteration: 29, likelihood estimate: -107.54638553757292
iteration: 30, likelihood estimate: -106.6305460142295
iteration: 31, likelihood estimate: -105.73961830849089
iteration: 32, likelihood estimate: -104.87179136856192
iteration: 33, likelihood estimate: -104.02550356767128
iteration: 34, likelihood estimate: -103.19940461504515
iteration: 35, likelihood estimate: -102.3923226683262
iteration: 36, likelihood estimate: -101.60323615266537
iteration: 37, likelihood estimate: -100.83124978323688
iteration: 38, likelihood estimate: -100.07557429257744
iteration: 39, likelihood estimate: -99.33550938292875
iteration: 40, likelihood estimate: -98.61042945461539
iteration: 41, likelihood estimate: -97.89977170038657
iteration: 42, likelihood estimate: -97.20302619892763
iteration: 43, likelihood estimate: -96.51972768521426
iteration: 44, likelihood estimate: -95.849448718658
iteration: 45, likelihood estimate: -95.19179401052486
